,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked_C,Embarked_Q,Embarked_S
0,3.0,0.0,22.0,1.0,0.0,7.25,0.0,0.0,0.0,1.0
1,1.0,1.0,38.0,1.0,0.0,71.2833,15845.0,1.0,0.0,0.0
2,3.0,1.0,26.0,0.0,0.0,7.925,0.0,0.0,0.0,1.0
3,1.0,1.0,35.0,1.0,0.0,53.1,561243.0,0.0,0.0,1.0
4,3.0,0.0,35.0,0.0,0.0,8.05,0.0,0.0,0.0,1.0
5,3.0,0.0,,0.0,0.0,8.4583,0.0,0.0,1.0,0.0
6,1.0,0.0,54.0,0.0,0.0,51.8625,18294.0,0.0,0.0,1.0
7,3.0,0.0,2.0,3.0,1.0,21.075,0.0,0.0,0.0,1.0
8,3.0,1.0,27.0,0.0,2.0,11.1333,0.0,0.0,0.0,1.0
9,2.0,1.0,14.0,1.0,0.0,30.0708,0.0,1.0,0.0,0.0
10,3.0,1.0,4.0,1.0,1.0,16.7,582.0,0.0,0.0,1.0
11,1.0,1.0,58.0,0.0,0.0,26.55,561171.0,0.0,0.0,1.0
12,3.0,0.0,20.0,0.0,0.0,8.05,0.0,0.0,0.0,1.0
13,3.0,0.0,39.0,1.0,5.0,31.275,0.0,0.0,0.0,1.0
14,3.0,1.0,14.0,0.0,0.0,7.8542,0.0,0.0,0.0,1.0
15,2.0,1.0,55.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0
16,3.0,0.0,2.0,4.0,1.0,29.125,0.0,0.0,1.0,0.0
17,2.0,0.0,,0.0,0.0,13.0,0.0,0.0,0.0,1.0
18,3.0,1.0,31.0,1.0,0.0,18.0,0.0,0.0,0.0,1.0
19,3.0,1.0,,0.0,0.0,7.225,0.0,1.0,0.0,0.0
20,2.0,0.0,35.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0
21,2.0,0.0,34.0,0.0,0.0,13.0,17034.0,0.0,0.0,1.0
22,3.0,1.0,15.0,0.0,0.0,8.0292,0.0,0.0,1.0,0.0
23,1.0,0.0,28.0,0.0,0.0,35.5,366.0,0.0,0.0,1.0
24,3.0,1.0,8.0,3.0,1.0,21.075,0.0,0.0,0.0,1.0
25,3.0,1.0,38.0,1.0,5.0,31.3875,0.0,0.0,0.0,1.0
26,3.0,0.0,,0.0,0.0,7.225,0.0,1.0,0.0,0.0
27,1.0,0.0,19.0,3.0,2.0,263.0,15627.0,0.0,0.0,1.0
28,3.0,1.0,,0.0,0.0,7.8792,0.0,0.0,1.0,0.0
29,3.0,0.0,,0.0,0.0,7.8958,0.0,0.0,0.0,1.0
30,1.0,0.0,40.0,0.0,0.0,27.7208,0.0,1.0,0.0,0.0
31,1.0,1.0,,1.0,0.0,146.5208,14516.0,1.0,0.0,0.0
32,3.0,1.0,,0.0,0.0,7.75,0.0,0.0,1.0,0.0
33,2.0,0.0,66.0,0.0,0.0,10.5,0.0,0.0,0.0,1.0
34,1.0,0.0,28.0,1.0,0.0,82.1708,0.0,1.0,0.0,0.0
35,1.0,0.0,42.0,1.0,0.0,52.0,0.0,0.0,0.0,1.0
36,3.0,0.0,,0.0,0.0,7.2292,0.0,1.0,0.0,0.0
37,3.0,0.0,21.0,0.0,0.0,8.05,0.0,0.0,0.0,1.0
38,3.0,1.0,18.0,2.0,0.0,18.0,0.0,0.0,0.0,1.0
39,3.0,1.0,14.0,1.0,0.0,11.2417,0.0,1.0,0.0,0.0
40,3.0,1.0,40.0,1.0,0.0,9.475,0.0,0.0,0.0,1.0
41,2.0,1.0,27.0,1.0,0.0,21.0,0.0,0.0,0.0,1.0
42,3.0,0.0,,0.0,0.0,7.8958,0.0,1.0,0.0,0.0
43,2.0,1.0,3.0,1.0,2.0,41.5792,0.0,1.0,0.0,0.0
44,3.0,1.0,19.0,0.0,0.0,7.8792,0.0,0.0,1.0,0.0
45,3.0,0.0,,0.0,0.0,8.05,0.0,0.0,0.0,1.0
46,3.0,0.0,,1.0,0.0,15.5,0.0,0.0,1.0,0.0
47,3.0,1.0,,0.0,0.0,7.75,0.0,0.0,1.0,0.0
48,3.0,0.0,,2.0,0.0,21.6792,0.0,1.0,0.0,0.0
49,3.0,1.0,18.0,1.0,0.0,17.8,0.0,0.0,0.0,1.0
50,3.0,0.0,7.0,4.0,1.0,39.6875,0.0,0.0,0.0,1.0
51,3.0,0.0,21.0,0.0,0.0,7.8,0.0,0.0,0.0,1.0
52,1.0,1.0,49.0,1.0,0.0,76.7292,16959.0,1.0,0.0,0.0
53,2.0,1.0,29.0,1.0,0.0,26.0,0.0,0.0,0.0,1.0
54,1.0,0.0,65.0,0.0,1.0,61.9792,14364.0,1.0,0.0,0.0
55,1.0,0.0,,0.0,0.0,35.5,15734.0,0.0,0.0,1.0
56,2.0,1.0,21.0,0.0,0.0,10.5,0.0,0.0,0.0,1.0
